BOOK_ID,AUTHOR_ID
BK034,AU0114
BK035,AU090
BK036,AU075
BK037,AU081
BK038,AU089
BK039,AU097
BK040,AU0139
BK041,AU097
BK042,AU097
BK043,AU056
BK044,AU0117
BK045,AU055
BK046,AU089
BK047,AU092
BK048,AU0118
BK049,AU0153
BK050,AU0139
BK051,AU090
BK052,AU0113
BK053,AU088
BK054,AU098
BK055,AU0111
BK056,AU0139
BK057,AU0152
BK058,AU097
BK059,AU092
BK060,AU097
BK061,AU0139
BK062,AU096
BK063,AU0139
BK064,AU097
BK065,AU0125
BK066,AU0145
BK067,AU0139
BK068,AU0139
BK069,AU097
BK070,AU0145
BK071,AU068
BK072,AU0163
BK073,AU097
BK074,AU097
BK075,AU0151
BK076,AU0106
BK077,AU0136
BK078,AU0158
BK079,AU0127
BK080,AU060
BK081,AU0133
BK082,AU085
BK083,AU069
BK084,AU074
BK085,AU0122
BK086,AU0100
BK087,AU0155
BK088,AU0135
BK089,AU0122
BK090,AU0133
BK091,AU0127
BK092,AU0139
BK093,AU061
BK094,AU099
BK095,AU0127
BK096,AU062
BK097,AU061
BK098,AU0127
BK099,AU049
BK100,AU0157
BK101,AU0162
BK102,AU0143
BK103,AU0115
BK104,AU069
BK105,AU076
BK106,AU0110
BK107,AU0122
BK108,AU054
BK109,AU060
BK110,AU0130
BK111,AU0157
BK112,AU069
BK113,AU069
BK114,AU076
BK115,AU0101
BK116,AU0122
BK117,AU0131
BK118,AU0156
BK119,AU0142
BK120,AU0126
BK121,AU0120
BK122,AU0159
BK123,AU0161
BK124,AU063
BK125,AU0150
BK126,AU0102
BK127,AU064
BK128,AU093
BK129,AU0154
BK130,AU0107
BK131,AU065
BK132,AU077
BK133,AU0119
BK134,AU094
BK135,AU0129
BK136,AU053
BK137,AU0104
BK138,AU0105
BK139,AU0165
BK140,AU080
BK141,AU071
BK142,AU0148
BK143,AU048
BK144,AU059
BK145,AU084
BK146,AU083
BK147,AU0141
BK148,AU0160
BK149,AU073
BK150,AU095
BK151,AU0109
BK152,AU052
BK153,AU058
BK154,AU0140
BK155,AU0146
BK156,AU0134
BK157,AU050
BK158,AU070
BK159,AU086
BK160,AU0123
BK161,AU051
BK162,AU061
BK163,AU067
BK164,AU0137
BK165,AU082
BK166,AU0138
BK167,AU0137
BK168,AU0147
BK169,AU091
BK170,AU091
BK171,AU0116
BK172,AU0112
BK173,AU066
BK174,AU0121
BK175,AU0128
BK176,AU072
BK177,AU0128
BK178,AU0116
BK179,AU0128
BK180,AU091
BK181,AU0124
BK182,AU0132
BK183,AU091
BK184,AU0164
BK185,AU091
BK186,AU0108
BK187,AU091
BK188,AU078
BK189,AU091
BK190,AU079
BK191,AU091
BK192,AU057
BK193,AU0144
BK194,AU0103
BK195,AU091
BK196,AU079
BK197,AU091
BK198,AU0149
BK199,AU087
BK200,AU047
BK201,AU0103
